Date,new_cases
2013/4/1,0
2013/5/1,0
2013/6/1,0
2013/7/1,0
2013/8/1,0
2013/9/1,0
2014/4/1,0
2014/5/1,0
2014/6/1,0
2014/7/1,0
2014/8/1,0
2014/9/1,0
2015/4/1,0
2015/5/1,0
2015/6/1,0
2015/7/1,0
2015/8/1,0
2015/9/1,0
2016/4/1,0
2016/5/1,0
2016/6/1,0
2016/7/1,0
2016/8/1,0
2016/9/1,0
2017/4/1,0
2017/5/1,0
2017/6/1,0
2017/7/1,0
2017/8/1,0
2017/9/1,0
2018/4/1,0
2018/5/1,0
2018/6/1,0
2018/7/1,0
2018/8/1,0
2018/9/1,0
2019/4/1,0
2019/5/1,0
2019/6/1,0
2019/7/1,0
2019/8/1,0
2019/9/1,0
2020/4/1,57134
2020/5/1,44864
2020/6/1,22925
2020/7/1,28717
2020/8/1,31831
2020/9/1,21361
2021/4/1,20768
2021/5/1,17442
2021/6/1,9459
2021/7/1,9045
2021/8/1,31496
2021/9/1,54691
2022/4/1,13263
2022/5/1,9953
2022/6/1,9885
2022/7/1,13117
2022/8/1,13716
2022/9/1,12795
2023/4/1,7009
2023/5/1,3089
2023/6/1,0
2023/7/1,0
2023/8/1,4463
2023/9/1,5148
